City,Category,Country iso3,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Abidjan,LMIC,CIV,0.0,0.0,0.0,356.39421909157153,45.330337624483846,0.0,0.0,0.0,6.252530159501255,0.0,0.0,0.0,6.442798153995628,62.91595822200631,0.0,0.0,0.0,0.0,89.87936199498016,51.5828677839851,0.0,0.0,24.30572423285564,0.0,61.74196421342401,0.0
Addu,UMIC,MDV,0.0,0.0,0.0,813.9322916666667,116.27604166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.93229166666669,188.93229166666669,232.55208333333334,0.0,0.0,116.27604166666667,377.86458333333337,232.55208333333334,0.0,0.0,436.0026041666667,0.0,174.4140625,0.0
Agneby-Tiassa,LMIC,CIV,0.0,0.0,0.0,327.3014330823415,44.229212209537685,0.0,0.0,0.0,5.629098858392033,0.0,0.0,0.0,66.74661970690632,66.74661970690632,0.0,0.0,0.0,0.0,110.17124119504493,58.703748684317056,0.0,0.0,59.507327341915634,0.0,6.641162658894016,0.0
Aguascalientes,UMIC,MEX,0.0,0.0,0.0,570.3986486486486,78.67567567567568,118.01351351351352,0.0,0.0,0.0,0.0,0.0,0.0,196.68918918918922,0.0,0.0,0.0,0.0,0.0,491.722972972973,0.0,59.00675675675676,0.0,314.7027027027027,0.0,157.35135135135135,0.0
Algiers,UMIC,DZA,0.0,0.0,0.0,721.6277412639306,147.50907907927632,25.370903507407828,0.0,0.0,25.370903507407828,0.0,0.0,0.0,198.2303206494764,198.2303206494764,0.0,0.0,0.0,0.0,103.31393860041702,103.31393860041702,0.0,0.0,153.14401090394242,0.0,123.10475146880026,0.0
Amparai,UMIC,LKA,0.0,0.0,0.0,446.7331409078982,19.783452335345054,4.495297545919707,0.0,0.0,28.31830297166098,0.0,0.0,0.0,22.020743276043035,86.23927965101024,0.0,0.0,0.0,0.0,34.85409272500656,34.85409272500656,0.0,0.0,68.77598091052218,0.0,137.15836427446865,0.0
Anhui,UMIC,CHN,0.0,0.0,0.0,878.7377049180328,218.6393442622951,75.64754098360656,0.0,0.0,75.64754098360656,0.0,0.0,0.0,580.7213114754098,0.0,0.0,0.0,0.0,0.0,157.7786885245902,157.7786885245902,0.0,0.0,430.7213114754099,0.0,64.81967213114754,0.0
Anuradhapura,UMIC,LKA,0.0,0.0,0.0,373.7518816583574,28.40116559958016,6.442569294148518,0.0,0.0,40.66483447913934,0.0,0.0,0.0,31.612092416688533,123.9210595644188,0.0,0.0,0.0,0.0,50.017953568617166,50.017953568617166,0.0,0.0,98.75153640776699,0.0,196.88160312254,0.0
Atolls,UMIC,MDV,0.0,0.0,0.0,769.3359375,137.36979166666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.84375,164.84375,0.0,219.79166666666669,0.0,137.36979166666669,274.73958333333337,219.79166666666669,0.0,0.0,439.58333333333337,0.0,164.84375,0.0
Badulla,UMIC,LKA,0.0,0.0,0.0,349.22454388611914,22.870085207294675,5.199629879952768,0.0,0.0,32.751453548937285,0.0,0.0,0.0,25.48025797690895,99.82875059039623,0.0,0.0,0.0,0.0,40.302310489372864,40.302310489372864,0.0,0.0,79.54812247441618,0.0,158.59906920755708,0.0
Bafing,LMIC,CIV,0.0,0.0,0.0,209.73402963322806,0.0,0.0,0.0,0.0,3.6069953849890695,0.0,0.0,0.0,42.76981620921383,42.76981620921383,0.0,0.0,0.0,0.0,70.59752246781636,37.61638733705772,0.0,0.0,38.13253987531374,0.0,41.73953526030281,0.0
Bagoue,LMIC,CIV,0.0,0.0,0.0,255.56027851995788,34.533641000728686,0.0,0.0,0.0,4.394381021779613,0.0,0.0,0.0,52.116225406849644,52.116225406849644,0.0,0.0,0.0,0.0,86.0233989150676,45.836369524734835,0.0,0.0,46.463849081046064,0.0,50.86025423042668,0.0
Baja California Sur,UMIC,MEX,0.0,0.0,0.0,600.6044698544698,82.84199584199585,124.26299376299379,0.0,0.0,0.0,0.0,0.0,0.0,207.1049896049896,0.0,0.0,0.0,0.0,0.0,517.7624740124741,0.0,62.13149688149689,0.0,331.3679833679834,0.0,165.6839916839917,0.0
Baja California,UMIC,MEX,0.0,0.0,0.0,596.3690228690228,82.25779625779627,123.3866943866944,0.0,0.0,0.0,0.0,0.0,0.0,205.64449064449065,0.0,0.0,0.0,0.0,0.0,514.1112266112267,0.0,61.6933471933472,0.0,329.0311850311851,0.0,164.51559251559254,0.0
Barishal,LMIC,BGD,0.0,0.0,0.0,185.0157955198162,17.929350947731187,18.437679494543367,0.0,0.0,18.437679494543367,0.0,0.0,0.0,18.767949454336588,5.37047673750718,18.437679494543367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.4646754738656,0.0
Batticaloa,UMIC,LKA,0.0,0.0,0.0,396.2698007084755,12.822991616373656,2.900191965363422,0.0,0.0,18.37478766727893,0.0,0.0,0.0,14.293803253739178,56.015136237208075,0.0,0.0,0.0,0.0,22.611139497507217,22.611139497507217,0.0,0.0,44.62152494752034,0.0,88.99446201784309,0.0
Beijing,UMIC,CHN,0.0,0.0,0.0,1312.688524590164,424.16393442622956,180.8688524590164,0.0,0.0,0.0,180.8688524590164,0.0,0.0,1689.9016393442623,0.0,0.0,0.0,0.0,0.0,316.1639344262295,316.1639344262295,0.0,0.0,927.0983606557378,0.0,179.5409836065574,0.0
Belier,LMIC,CIV,0.0,0.0,0.0,253.4713788357218,34.252287264189135,0.0,0.0,0.0,4.357946724961542,0.0,0.0,0.0,51.690146546838314,51.690146546838314,0.0,0.0,0.0,0.0,85.32102663751922,45.46190591854911,0.0,0.0,46.08533721965833,0.0,50.44530807222087,0.0
Berat,UMIC,ALB,0.0,0.0,0.0,862.0219107459319,85.13774770420493,45.67101659416788,0.0,0.0,45.67101659416788,0.0,0.0,0.0,90.45915901401644,90.45915901401644,45.67101659416788,0.0,0.0,78.04333816658611,111.74399871113259,58.532302239407116,0.0,0.0,191.560335105526,0.0,115.29080070887709,0.0
Bere,LMIC,CIV,0.0,0.0,0.0,228.18395271637922,40.5635171241195,0.0,0.0,0.0,5.161525382560116,0.0,0.0,0.0,46.5336814832807,46.5336814832807,0.0,0.0,0.0,0.0,101.04242571451704,53.839770059104524,0.0,0.0,54.57655250586997,0.0,59.74010201603109,0.0
Boukani,LMIC,CIV,0.0,0.0,0.0,247.21277629341753,33.40620192696947,0.0,0.0,0.0,4.250667962108331,0.0,0.0,0.0,50.413934094405306,50.413934094405306,0.0,0.0,0.0,0.0,83.21390980487409,44.340539227592906,0.0,0.0,44.94676544409359,0.0,49.198445470002426,0.0
Byo,LMIC,ZWE,0.0,0.0,0.0,1.7686360886985357,0.0,0.46321421359491577,0.0,0.0,0.0,0.0,0.0,0.0,0.29477268140370266,0.5895453628074053,0.0,0.0,0.0,0.0,0.42110383061619233,0.16844153224647693,0.0,0.0,0.6316557460624482,0.0,0.16844153224647693,0.0
Cairo,LMIC,EGY,244.27157001414426,32.7015558698727,0.0,247.75106082036774,78.9108910891089,5.926449787835926,0.0,2.1216407355021216,37.01555869872701,29.674681753889676,14.497878359264497,0.0,57.66619519094766,218.64214992927862,9.533239038189533,0.0,0.0,70.97595473833097,80.77793493635077,43.8048090523338,0.0,0.0,276.19519094766616,0.0,59.91513437057991,0.0
Campeche,UMIC,MEX,0.0,0.0,0.0,528.5717255717256,72.90644490644492,109.35966735966737,0.0,0.0,0.0,0.0,0.0,0.0,182.2661122661123,0.0,0.0,0.0,0.0,0.0,455.6652806652807,0.0,54.679833679833685,0.0,291.62577962577967,0.0,145.81288981288984,0.0
Cape Town,UMIC,ZAF,0.0,0.0,0.0,448.2291666666667,155.83333333333334,56.66666666666667,0.0,0.0,56.66666666666667,0.0,0.0,0.0,530.625,530.625,56.66666666666667,0.0,0.0,68.75,530.6979166666666,110.83333333333334,0.0,0.0,203.95833333333334,0.0,481.45833333333337,0.0
Casablanca,LMIC,MAR,0.0,0.0,0.0,862.6190476190476,85.47619047619047,0.0,0.0,0.0,80.35714285714285,0.0,0.0,0.0,208.92857142857142,208.92857142857142,208.92857142857142,0.0,0.0,0.0,191.66666666666666,64.76190476190476,0.0,0.0,409.2857142857143,0.0,269.40476190476187,0.0
Cavally,LMIC,CIV,0.0,0.0,0.0,347.8989555501579,47.012387660918144,0.0,0.0,0.0,5.983321188567727,0.0,0.0,0.0,70.94769654279006,70.94769654279006,0.0,0.0,0.0,0.0,117.10590235608453,62.3998056837503,0.0,0.0,63.25196340377297,0.0,69.23730871994171,0.0
Chiapas,UMIC,MEX,0.0,0.0,0.0,361.3393970893971,49.83991683991684,74.75987525987527,0.0,0.0,0.0,0.0,0.0,0.0,124.59979209979213,0.0,0.0,0.0,0.0,0.0,311.49948024948026,0.0,37.379937629937636,0.0,199.35966735966736,0.0,99.67983367983368,0.0
Chihuahua,UMIC,MEX,0.0,0.0,0.0,468.0847193347194,64.56340956340956,96.84511434511435,0.0,0.0,0.0,0.0,0.0,0.0,161.40852390852393,0.0,0.0,0.0,0.0,0.0,403.5213097713098,0.0,48.42255717255718,0.0,258.25363825363826,0.0,129.12681912681913,0.0
Chittagong,LMIC,BGD,0.0,0.0,0.0,270.3862722573234,26.201895462377944,26.950028719126937,0.0,0.0,26.950028719126937,0.0,0.0,0.0,27.43681792073521,7.854681217690982,26.950028719126937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.2912119471568,0.0
Chongqing,UMIC,CHN,0.0,0.0,0.0,1034.1639344262296,307.88524590163934,105.95081967213115,0.0,0.0,105.95081967213115,0.0,0.0,0.0,577.1803278688525,0.0,0.0,0.0,0.0,0.0,164.72950819672133,164.72950819672133,0.0,0.0,475.6229508196722,0.0,60.42622950819673,0.0
Coahuila de Zaragoza,UMIC,MEX,0.0,0.0,0.0,528.9636174636175,72.96049896049897,109.44074844074844,0.0,0.0,0.0,0.0,0.0,0.0,182.40124740124742,0.0,0.0,0.0,0.0,0.0,456.0031185031185,0.0,54.72037422037422,0.0,291.84199584199587,0.0,145.92099792099793,0.0
Colima,UMIC,MEX,0.0,0.0,0.0,513.6496881496882,70.84823284823285,106.27234927234929,0.0,0.0,0.0,0.0,0.0,0.0,177.12058212058216,0.0,0.0,0.0,0.0,0.0,442.80145530145535,0.0,53.136174636174644,0.0,283.3929313929314,0.0,141.6964656964657,0.0
Colombo,UMIC,LKA,0.0,0.0,0.0,8357.507215953818,1352.6843348202572,193.24061926003674,0.0,0.0,1217.4757281553398,0.0,0.0,0.0,946.9089477827341,3710.160062975597,0.0,0.0,0.0,0.0,1497.7045394909471,1497.7045394909471,0.0,0.0,2956.7908685384414,0.0,5921.060089215429,0.0
Cuidad de Mexico,UMIC,MEX,0.0,0.0,0.0,704.8477130977132,97.22037422037423,145.83056133056135,0.0,0.0,0.0,0.0,0.0,0.0,243.05093555093558,0.0,0.0,0.0,0.0,0.0,607.627338877339,0.0,72.91528066528068,0.0,388.8814968814969,0.0,194.44074844074845,0.0
Dhaka,LMIC,BGD,0.0,0.0,0.0,219.72573233773693,21.29236071223435,21.90120620333142,0.0,0.0,21.90120620333142,0.0,0.0,0.0,22.28604250430787,6.375646180356117,21.90120620333142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.50976450315909,0.0
Diber,UMIC,ALB,0.0,0.0,0.0,606.0415659739004,59.85178024810698,20.782986950217495,0.0,0.0,20.782986950217495,0.0,0.0,0.0,63.597551151925245,63.597551151925245,20.782986950217495,0.0,0.0,54.86547446431448,78.55646850330272,41.14709199291123,0.0,0.0,134.67053326888995,0.0,81.05364910584824,0.0
Durango,UMIC,MEX,0.0,0.0,0.0,492.11070686070684,67.87733887733889,101.81600831600832,0.0,0.0,0.0,0.0,0.0,0.0,169.69334719334722,0.0,0.0,0.0,0.0,0.0,424.233367983368,0.0,50.90800415800416,0.0,271.50935550935554,0.0,135.75467775467777,0.0
Durres,UMIC,ALB,0.0,0.0,0.0,963.4807475430965,87.22812953117447,31.719026905107135,0.0,0.0,31.719026905107135,0.0,0.0,0.0,101.1060093442887,101.1060093442887,31.719026905107135,0.0,0.0,0.0,124.89527952311906,65.42129853391332,0.0,0.0,214.1058482358627,0.0,128.86015788625747,0.0
Elbasan,UMIC,ALB,0.0,0.0,0.0,690.1055260190108,68.15691960689544,23.663605606573224,0.0,0.0,23.663605606573224,0.0,0.0,0.0,72.41823747381989,72.41823747381989,23.663605606573224,0.0,0.0,0.0,89.45545352021911,46.858385693571776,0.0,0.0,153.35266634444983,0.0,92.29821169647172,0.0
