Sector,Indus_Sector,City,value,Type
Food,Primary industry,Algiers,0,Bleu water
Food,Primary industry,Algiers,0,Bleu water
Goods,Primary industry,Algiers,0,Bleu water
Food,Light manufacturing,Algiers,94.77941733,Bleu water
Textiles,Light manufacturing,Algiers,1.234991353,Bleu water
Goods,Primary industry,Algiers,0.626455934,Bleu water
Goods,Primary industry,Algiers,0,Bleu water
Goods,Heavey manufacturing,Algiers,0,Bleu water
Electronics,Light manufacturing,Algiers,0.135256094,Bleu water
Transport,Light manufacturing,Algiers,0,Bleu water
Goods,Heavey manufacturing,Algiers,0,Bleu water
Services,Light manufacturing,Algiers,0,Bleu water
Energy ,Primary industry,Algiers,4.895244305,Bleu water
Construction,Heavey manufacturing,Algiers,1.072490043,Bleu water
Services,Light manufacturing,Algiers,0,Bleu water
Services,Tertiary industry,Algiers,0,Bleu water
Services,Tertiary industry,Algiers,0,Bleu water
Hotels & Restaurants,Tertiary industry,Algiers,0,Bleu water
Transport,Heavey manufacturing,Algiers,2.594962129,Bleu water
Services,Tertiary industry,Algiers,0.87531761,Bleu water
Services,Tertiary industry,Algiers,0,Bleu water
Services,Tertiary industry,Algiers,0,Bleu water
Services,Tertiary industry,Algiers,0.265170739,Bleu water
Goods,Tertiary industry,Algiers,0,Bleu water
Others,Light manufacturing,Algiers,2.422670264,Bleu water
Others,Light manufacturing,Algiers,0,Bleu water
Food,Primary industry,Tunis,0,Bleu water
Food,Primary industry,Tunis,0,Bleu water
Goods,Primary industry,Tunis,0,Bleu water
Food,Light manufacturing,Tunis,292.1642306,Bleu water
Textiles,Light manufacturing,Tunis,0.578560183,Bleu water
Goods,Primary industry,Tunis,2.805864441,Bleu water
Goods,Primary industry,Tunis,0,Bleu water
Goods,Heavey manufacturing,Tunis,0,Bleu water
Electronics,Light manufacturing,Tunis,0.485647109,Bleu water
Transport,Light manufacturing,Tunis,0,Bleu water
Goods,Heavey manufacturing,Tunis,0,Bleu water
Services,Light manufacturing,Tunis,0,Bleu water
Energy ,Primary industry,Tunis,0,Bleu water
Construction,Heavey manufacturing,Tunis,4.137480587,Bleu water
Services,Light manufacturing,Tunis,0,Bleu water
Services,Tertiary industry,Tunis,0,Bleu water
Services,Tertiary industry,Tunis,0,Bleu water
Hotels & Restaurants,Tertiary industry,Tunis,1.443967254,Bleu water
Transport,Heavey manufacturing,Tunis,8.587433193,Bleu water
Services,Tertiary industry,Tunis,2.146109014,Bleu water
Services,Tertiary industry,Tunis,0,Bleu water
Services,Tertiary industry,Tunis,0,Bleu water
Services,Tertiary industry,Tunis,0.916515819,Bleu water
Goods,Tertiary industry,Tunis,0,Bleu water
Others,Light manufacturing,Tunis,0.38648615,Bleu water
Others,Light manufacturing,Tunis,0,Bleu water
Food,Primary industry,Casablanca,0,Bleu water
Food,Primary industry,Casablanca,0,Bleu water
Goods,Primary industry,Casablanca,0,Bleu water
Food,Light manufacturing,Casablanca,201.0674534,Bleu water
Textiles,Light manufacturing,Casablanca,0.415304654,Bleu water
Goods,Primary industry,Casablanca,0,Bleu water
Goods,Primary industry,Casablanca,0,Bleu water
Goods,Heavey manufacturing,Casablanca,0,Bleu water
Electronics,Light manufacturing,Casablanca,1.060930886,Bleu water
Transport,Light manufacturing,Casablanca,0,Bleu water
Goods,Heavey manufacturing,Casablanca,0,Bleu water
Services,Light manufacturing,Casablanca,0,Bleu water
Energy ,Primary industry,Casablanca,27.06125193,Bleu water
Construction,Heavey manufacturing,Casablanca,2.498269233,Bleu water
Services,Light manufacturing,Casablanca,9.337185238,Bleu water
Services,Tertiary industry,Casablanca,0,Bleu water
Services,Tertiary industry,Casablanca,0,Bleu water
Hotels & Restaurants,Tertiary industry,Casablanca,0,Bleu water
Transport,Heavey manufacturing,Casablanca,28.39379573,Bleu water
Services,Tertiary industry,Casablanca,2.073499352,Bleu water
Services,Tertiary industry,Casablanca,0,Bleu water
Services,Tertiary industry,Casablanca,0,Bleu water
Services,Tertiary industry,Casablanca,2.478896649,Bleu water
Goods,Tertiary industry,Casablanca,0,Bleu water
Others,Light manufacturing,Casablanca,26.7299715,Bleu water
Others,Light manufacturing,Casablanca,0,Bleu water
Food,Primary industry,Guelmim,0,Bleu water
Food,Primary industry,Guelmim,0,Bleu water
Goods,Primary industry,Guelmim,0,Bleu water
Food,Light manufacturing,Guelmim,208.6781035,Bleu water
Textiles,Light manufacturing,Guelmim,0.32788823,Bleu water
Goods,Primary industry,Guelmim,0,Bleu water
Goods,Primary industry,Guelmim,0,Bleu water
Goods,Heavey manufacturing,Guelmim,0,Bleu water
Electronics,Light manufacturing,Guelmim,0.836972306,Bleu water
Transport,Light manufacturing,Guelmim,0,Bleu water
Goods,Heavey manufacturing,Guelmim,0,Bleu water
Services,Light manufacturing,Guelmim,0,Bleu water
Energy ,Primary industry,Guelmim,21.35603073,Bleu water
Construction,Heavey manufacturing,Guelmim,1.971568597,Bleu water
Services,Light manufacturing,Guelmim,7.368661855,Bleu water
Services,Tertiary industry,Guelmim,0,Bleu water
Services,Tertiary industry,Guelmim,0,Bleu water
Hotels & Restaurants,Tertiary industry,Guelmim,0,Bleu water
